flight_number,airline_name,departure_airport,departure_city,departure_country,departure_time,arrival_airport,arrival_city,arrival_country,duration_hours,distance_km
QR4568,Qatar Airways,Hamad International,Doha,Qatar,10:41 PM,Jomo Kenyatta International,Nairobi,Kenya,7,2323
AZ2467,Alitalia,Leonardo da Vinci International,Rome,Italy,1:49 PM,Vienna International,Vienna,Austria,2,5862
BA9490,British Airways,Heathrow,London,UK,5:56 AM,Charles de Gaulle,Paris,France,16,6454
ET1495,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,9:48 PM,Frankfurt Airport,Frankfurt,Germany,9,683
AI8431,Air India,Indira Gandhi International,Delhi,India,10:15 AM,Arturo Merino Benítez International,Santiago,Chile,19,2900
NZ7379,Air New Zealand,Auckland Airport,Auckland,New Zealand,2:02 PM,Sydney Airport,Sydney,Australia,18,7914
BA9148,British Airways,Heathrow,London,UK,10:28 AM,Denver International,Denver,USA,14,4618
KE4039,Korean Air,Incheon International,Seoul,South Korea,10:47 AM,Auckland Airport,Auckland,New Zealand,3,4201
KL5197,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:38 AM,Charles de Gaulle,Paris,France,7,3890
AI9592,Air India,Indira Gandhi International,Delhi,India,8:05 PM,Chhatrapati Shivaji International,Mumbai,India,8,3378
LA8565,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,7:55 AM,Ministro Pistarini International,Buenos Aires,Argentina,7,517
KE7078,Korean Air,Incheon International,Seoul,South Korea,1:05 AM,Haneda,Tokyo,Japan,2,5612
AC3304,Air Canada,Toronto Pearson,Toronto,Canada,9:41 PM,Cairo International,Cairo,Egypt,7,6717
AZ4341,Alitalia,Leonardo da Vinci International,Rome,Italy,10:32 AM,Frankfurt Airport,Frankfurt,Germany,3,2913
LA8837,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,10:12 PM,Ministro Pistarini International,Buenos Aires,Argentina,16,141
LA2284,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,8:21 AM,Ministro Pistarini International,Buenos Aires,Argentina,13,7847
AF1380,Air France,Charles de Gaulle,Paris,France,6:16 AM,Frankfurt Airport,Frankfurt,Germany,11,521
IB9744,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,9:00 AM,Charles de Gaulle,Paris,France,22,7422
BA8865,British Airways,Heathrow,London,UK,10:48 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,8,2471
AV9245,Avianca,El Dorado International,Bogotá,Colombia,11:24 PM,O'Hare International,Chicago,USA,15,3975
LH4956,Lufthansa,Frankfurt Airport,Frankfurt,Germany,8:52 PM,Stockholm Arlanda,Stockholm,Sweden,5,1362
WN3151,Southwest Airlines,Los Angeles International,Los Angeles,USA,6:30 AM,San Francisco International,San Francisco,USA,10,1692
KL6135,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,7:05 PM,Charles de Gaulle,Paris,France,16,2798
NH6772,All Nippon Airways,Haneda,Tokyo,Japan,10:38 AM,Dallas/Fort Worth International,Dallas,USA,9,2519
NZ2113,Air New Zealand,Auckland Airport,Auckland,New Zealand,7:13 PM,Sydney Airport,Sydney,Australia,23,2868
LA2115,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,10:57 AM,Ministro Pistarini International,Buenos Aires,Argentina,20,6643
SQ2554,Singapore Airlines,Changi,Singapore,Singapore,5:10 AM,Haneda,Tokyo,Japan,12,1286
NZ8766,Air New Zealand,Auckland Airport,Auckland,New Zealand,1:43 PM,Sydney Airport,Sydney,Australia,8,8914
AI1195,Air India,Indira Gandhi International,Delhi,India,5:13 AM,Chhatrapati Shivaji International,Mumbai,India,22,850
ET5945,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,10:54 AM,Hamad International,Doha,Qatar,14,8653
LH6251,Lufthansa,Frankfurt Airport,Frankfurt,Germany,9:08 PM,Charles de Gaulle,Paris,France,13,5274
AZ1957,Alitalia,Leonardo da Vinci International,Rome,Italy,7:28 AM,Charles de Gaulle,Paris,France,17,1913
QF4855,Qantas,Sydney Airport,Sydney,Australia,6:42 PM,Melbourne Airport,Melbourne,Australia,13,2922
NZ8575,Air New Zealand,Auckland Airport,Auckland,New Zealand,3:49 PM,Suvarnabhumi,Bangkok,Thailand,1,6259
TG3685,Thai Airways,Suvarnabhumi,Bangkok,Thailand,3:54 AM,Changi,Singapore,Singapore,4,6974
NZ6282,Air New Zealand,Auckland Airport,Auckland,New Zealand,6:51 AM,Sydney Airport,Sydney,Australia,14,3430
LH5968,Lufthansa,Frankfurt Airport,Frankfurt,Germany,12:33 AM,Charles de Gaulle,Paris,France,14,5389
AV2514,Avianca,El Dorado International,Bogotá,Colombia,7:46 PM,O'Hare International,Chicago,USA,17,4584
IB7381,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,4:56 PM,Charles de Gaulle,Paris,France,20,5715
NH4540,All Nippon Airways,Haneda,Tokyo,Japan,11:06 PM,Incheon International,Seoul,South Korea,6,6968
AA2499,American Airlines,John F. Kennedy International,New York,USA,6:09 PM,Miami International,Miami,USA,17,4139
IB3862,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,10:17 AM,Charles de Gaulle,Paris,France,23,1745
NH2322,All Nippon Airways,Haneda,Tokyo,Japan,8:52 AM,Incheon International,Seoul,South Korea,3,5504
UA7283,United Airlines,Los Angeles International,Los Angeles,USA,12:26 AM,San Francisco International,San Francisco,USA,3,4916
SA4674,South African Airways,O.R. Tambo International,Johannesburg,South Africa,6:49 PM,Charles de Gaulle,Paris,France,8,8934
QR5080,Qatar Airways,Hamad International,Doha,Qatar,1:57 AM,John F. Kennedy International,New York,USA,5,4106
LA3959,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,11:13 AM,Ministro Pistarini International,Buenos Aires,Argentina,22,6774
NZ5050,Air New Zealand,Auckland Airport,Auckland,New Zealand,3:27 PM,Haneda,Tokyo,Japan,6,1616
DL1182,Delta Air Lines,John F. Kennedy International,New York,USA,5:21 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,8,3633
AC7423,Air Canada,Toronto Pearson,Toronto,Canada,1:08 AM,John F. Kennedy International,New York,USA,10,5425
DL9121,Delta Air Lines,John F. Kennedy International,New York,USA,3:52 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,5,8804
IB3454,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,6:21 PM,Leonardo da Vinci International,Rome,Italy,2,1868
AM1632,Aeroméxico,Benito Juárez International,Mexico City,Mexico,4:34 AM,O'Hare International,Chicago,USA,1,5239
NH6666,All Nippon Airways,Haneda,Tokyo,Japan,4:10 AM,Incheon International,Seoul,South Korea,23,2353
AI5161,Air India,Indira Gandhi International,Delhi,India,6:16 AM,Suvarnabhumi,Bangkok,Thailand,13,6629
NH4808,All Nippon Airways,Haneda,Tokyo,Japan,6:04 PM,Incheon International,Seoul,South Korea,17,9745
QR3591,Qatar Airways,Hamad International,Doha,Qatar,6:42 PM,Bole International,Addis Ababa,Ethiopia,10,831
SK1460,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,10:02 AM,Charles de Gaulle,Paris,France,8,9875
SK4238,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,6:43 AM,Charles de Gaulle,Paris,France,15,1878
NZ3167,Air New Zealand,Auckland Airport,Auckland,New Zealand,12:59 PM,Sydney Airport,Sydney,Australia,22,3827
AC7816,Air Canada,Toronto Pearson,Toronto,Canada,3:54 PM,John F. Kennedy International,New York,USA,24,5699
KE6794,Korean Air,Incheon International,Seoul,South Korea,1:23 AM,Haneda,Tokyo,Japan,13,270
AF8946,Air France,Charles de Gaulle,Paris,France,3:38 PM,Frankfurt Airport,Frankfurt,Germany,1,9113
AM8806,Aeroméxico,Benito Juárez International,Mexico City,Mexico,4:58 PM,O'Hare International,Chicago,USA,5,2349
TG9872,Thai Airways,Suvarnabhumi,Bangkok,Thailand,3:27 PM,Changi,Singapore,Singapore,8,6230
SA6231,South African Airways,O.R. Tambo International,Johannesburg,South Africa,4:46 AM,Charles de Gaulle,Paris,France,9,106
SA7022,South African Airways,O.R. Tambo International,Johannesburg,South Africa,8:52 AM,Charles de Gaulle,Paris,France,8,5189
AM8708,Aeroméxico,Benito Juárez International,Mexico City,Mexico,4:52 AM,O'Hare International,Chicago,USA,18,4599
SK3640,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,3:06 AM,Charles de Gaulle,Paris,France,6,8845
SQ9432,Singapore Airlines,Changi,Singapore,Singapore,3:05 PM,Beijing Capital International,Beijing,China,24,159
AM4164,Aeroméxico,Benito Juárez International,Mexico City,Mexico,5:53 AM,O'Hare International,Chicago,USA,23,5241
SQ7171,Singapore Airlines,Changi,Singapore,Singapore,11:15 PM,Beijing Capital International,Beijing,China,17,1507
AV2580,Avianca,El Dorado International,Bogotá,Colombia,11:39 PM,O'Hare International,Chicago,USA,23,3504
LH2616,Lufthansa,Frankfurt Airport,Frankfurt,Germany,6:35 AM,Charles de Gaulle,Paris,France,6,9662
DL2537,Delta Air Lines,John F. Kennedy International,New York,USA,4:08 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,14,4971
EK4779,Emirates,Dubai International,Dubai,UAE,2:18 AM,Hamad International,Doha,Qatar,4,9351
QR1102,Qatar Airways,Hamad International,Doha,Qatar,4:39 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,3,1530
QR7630,Qatar Airways,Hamad International,Doha,Qatar,2:43 PM,Bole International,Addis Ababa,Ethiopia,4,2959
UA9984,United Airlines,Los Angeles International,Los Angeles,USA,8:12 AM,San Francisco International,San Francisco,USA,2,7648
AV3743,Avianca,El Dorado International,Bogotá,Colombia,5:17 PM,O'Hare International,Chicago,USA,7,5953
AC8333,Air Canada,Toronto Pearson,Toronto,Canada,7:03 AM,John F. Kennedy International,New York,USA,7,2294
SK7593,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,6:33 AM,Charles de Gaulle,Paris,France,22,9751
IB9562,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,5:20 AM,Charles de Gaulle,Paris,France,8,7733
KL5737,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:27 PM,Charles de Gaulle,Paris,France,6,3431
CX9568,Cathay Pacific,Hong Kong International,Hong Kong,China,6:41 PM,Changi,Singapore,Singapore,4,1324
SK9472,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,4:01 PM,Charles de Gaulle,Paris,France,22,4562
SA4032,South African Airways,O.R. Tambo International,Johannesburg,South Africa,3:55 AM,Charles de Gaulle,Paris,France,3,3012
KL6805,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,2:30 AM,Dallas/Fort Worth International,Dallas,USA,9,7484
TG8197,Thai Airways,Suvarnabhumi,Bangkok,Thailand,10:21 PM,Changi,Singapore,Singapore,20,7729
AV2551,Avianca,El Dorado International,Bogotá,Colombia,3:37 PM,Dallas/Fort Worth International,Dallas,USA,24,3873
AC3869,Air Canada,Toronto Pearson,Toronto,Canada,5:58 PM,John F. Kennedy International,New York,USA,9,1248
NZ6282,Air New Zealand,Auckland Airport,Auckland,New Zealand,8:58 AM,Sydney Airport,Sydney,Australia,23,4342
ET6720,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,7:56 PM,Vienna International,Vienna,Austria,7,4993
AV1393,Avianca,El Dorado International,Bogotá,Colombia,6:01 AM,Auckland Airport,Auckland,New Zealand,3,1250
AC9935,Air Canada,Toronto Pearson,Toronto,Canada,7:41 AM,Vancouver International,Vancouver,Canada,9,8388
ET1809,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,3:29 PM,Hamad International,Doha,Qatar,20,2033
DL1182,Delta Air Lines,John F. Kennedy International,New York,USA,12:21 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,22,5928
EK2648,Emirates,Dubai International,Dubai,UAE,10:02 AM,Hamad International,Doha,Qatar,6,5787
AZ1200,Alitalia,Leonardo da Vinci International,Rome,Italy,1:16 AM,Charles de Gaulle,Paris,France,10,1233
KL4926,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,5:49 PM,Charles de Gaulle,Paris,France,18,341
EK5821,Emirates,Dubai International,Dubai,UAE,3:17 AM,Hamad International,Doha,Qatar,10,6100
SK6941,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,8:33 AM,Charles de Gaulle,Paris,France,12,1345
QR9037,Qatar Airways,Hamad International,Doha,Qatar,1:14 AM,Bole International,Addis Ababa,Ethiopia,24,9374
KL7739,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,1:45 AM,Charles de Gaulle,Paris,France,8,1941
AZ1725,Alitalia,Leonardo da Vinci International,Rome,Italy,4:42 AM,Charles de Gaulle,Paris,France,9,8157
LH7516,Lufthansa,Frankfurt Airport,Frankfurt,Germany,5:11 PM,Charles de Gaulle,Paris,France,10,1357
EK4042,Emirates,Dubai International,Dubai,UAE,10:48 PM,Hamad International,Doha,Qatar,23,2427
AZ8352,Alitalia,Leonardo da Vinci International,Rome,Italy,9:18 AM,Charles de Gaulle,Paris,France,19,1662
QR5248,Qatar Airways,Hamad International,Doha,Qatar,11:12 PM,Vienna International,Vienna,Austria,6,4761
KE7320,Korean Air,Incheon International,Seoul,South Korea,12:01 PM,Haneda,Tokyo,Japan,2,8928
AC2255,Air Canada,Toronto Pearson,Toronto,Canada,8:58 AM,John F. Kennedy International,New York,USA,8,9947
WN2104,Southwest Airlines,Los Angeles International,Los Angeles,USA,9:55 PM,Seattle-Tacoma International,Seattle,USA,2,9880
KL7370,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,1:04 AM,Charles de Gaulle,Paris,France,21,5080
AM6860,Aeroméxico,Benito Juárez International,Mexico City,Mexico,1:19 PM,O'Hare International,Chicago,USA,3,9956
IB5792,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,1:31 AM,Charles de Gaulle,Paris,France,23,8538
QR8903,Qatar Airways,Hamad International,Doha,Qatar,9:25 PM,Bole International,Addis Ababa,Ethiopia,16,1026
QF8394,Qantas,Sydney Airport,Sydney,Australia,11:54 PM,Stockholm Arlanda,Stockholm,Sweden,22,5889
IB4953,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,4:01 AM,Charles de Gaulle,Paris,France,7,6017
NH4005,All Nippon Airways,Haneda,Tokyo,Japan,1:53 AM,Incheon International,Seoul,South Korea,13,7863
BA7089,British Airways,Heathrow,London,UK,7:28 AM,Frankfurt Airport,Frankfurt,Germany,9,245
IB4351,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,12:50 AM,Cairo International,Cairo,Egypt,18,3511
LA9571,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,4:32 PM,Ministro Pistarini International,Buenos Aires,Argentina,15,9533
AC9854,Air Canada,Toronto Pearson,Toronto,Canada,11:39 PM,John F. Kennedy International,New York,USA,4,8958
SK9534,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,10:25 AM,Charles de Gaulle,Paris,France,3,9792
AI9853,Air India,Indira Gandhi International,Delhi,India,3:59 AM,Chhatrapati Shivaji International,Mumbai,India,8,2195
KE2522,Korean Air,Incheon International,Seoul,South Korea,9:27 AM,Haneda,Tokyo,Japan,18,7080
CX7337,Cathay Pacific,Hong Kong International,Hong Kong,China,11:53 AM,Changi,Singapore,Singapore,6,1806
AZ8697,Alitalia,Leonardo da Vinci International,Rome,Italy,7:30 AM,Haneda,Tokyo,Japan,14,4120
UA1609,United Airlines,Los Angeles International,Los Angeles,USA,1:45 AM,Vancouver International,Vancouver,Canada,3,9526
KE3382,Korean Air,Incheon International,Seoul,South Korea,4:35 PM,El Dorado International,Bogotá,Colombia,23,259
AA9987,American Airlines,John F. Kennedy International,New York,USA,11:42 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,14,9888
NZ2706,Air New Zealand,Auckland Airport,Auckland,New Zealand,7:21 PM,Sydney Airport,Sydney,Australia,10,7926
LH4442,Lufthansa,Frankfurt Airport,Frankfurt,Germany,10:18 PM,Charles de Gaulle,Paris,France,24,9284
DL8815,Delta Air Lines,John F. Kennedy International,New York,USA,3:19 PM,Ministro Pistarini International,Buenos Aires,Argentina,21,1329
LA3771,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,7:35 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,12,313
AA7774,American Airlines,John F. Kennedy International,New York,USA,11:26 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,12,3190
AZ5181,Alitalia,Leonardo da Vinci International,Rome,Italy,5:52 PM,Charles de Gaulle,Paris,France,4,7875
AZ6961,Alitalia,Leonardo da Vinci International,Rome,Italy,2:56 PM,Charles de Gaulle,Paris,France,21,4770
QF4930,Qantas,Sydney Airport,Sydney,Australia,3:11 PM,Stockholm Arlanda,Stockholm,Sweden,1,8756
ET6215,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,7:25 AM,Hamad International,Doha,Qatar,20,2024
AZ2628,Alitalia,Leonardo da Vinci International,Rome,Italy,7:27 AM,Charles de Gaulle,Paris,France,1,7929
QR7176,Qatar Airways,Hamad International,Doha,Qatar,1:32 PM,Bole International,Addis Ababa,Ethiopia,4,7139
AZ7278,Alitalia,Leonardo da Vinci International,Rome,Italy,3:28 AM,Charles de Gaulle,Paris,France,10,9462
AI1679,Air India,Indira Gandhi International,Delhi,India,12:29 AM,Chhatrapati Shivaji International,Mumbai,India,9,6169
BA6415,British Airways,Heathrow,London,UK,7:32 AM,Charles de Gaulle,Paris,France,24,3506
WN8753,Southwest Airlines,Los Angeles International,Los Angeles,USA,5:35 PM,Seattle-Tacoma International,Seattle,USA,13,6475
KE7368,Korean Air,Incheon International,Seoul,South Korea,1:46 AM,Haneda,Tokyo,Japan,5,9000
AZ5181,Alitalia,Leonardo da Vinci International,Rome,Italy,2:21 PM,Charles de Gaulle,Paris,France,12,2918
IB9870,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,10:59 PM,Charles de Gaulle,Paris,France,23,2354
BA8525,British Airways,Heathrow,London,UK,8:11 PM,Charles de Gaulle,Paris,France,4,9125
AI3641,Air India,Indira Gandhi International,Delhi,India,3:50 AM,Cairo International,Cairo,Egypt,13,3274
IB1120,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,1:46 AM,Charles de Gaulle,Paris,France,18,1300
NH2177,All Nippon Airways,Haneda,Tokyo,Japan,4:29 AM,Amsterdam Airport Schiphol,Amsterdam,Netherlands,20,7177
WN8168,Southwest Airlines,Los Angeles International,Los Angeles,USA,10:51 AM,San Francisco International,San Francisco,USA,9,6199
AV5508,Avianca,El Dorado International,Bogotá,Colombia,6:57 PM,O'Hare International,Chicago,USA,14,5653
AF9229,Air France,Charles de Gaulle,Paris,France,7:45 PM,Frankfurt Airport,Frankfurt,Germany,18,3747
SA8121,South African Airways,O.R. Tambo International,Johannesburg,South Africa,8:21 AM,Charles de Gaulle,Paris,France,4,5191
DL3040,Delta Air Lines,John F. Kennedy International,New York,USA,1:56 AM,Miami International,Miami,USA,18,551
AM7051,Aeroméxico,Benito Juárez International,Mexico City,Mexico,8:55 AM,O'Hare International,Chicago,USA,6,3556
AI3656,Air India,Indira Gandhi International,Delhi,India,11:08 PM,Chhatrapati Shivaji International,Mumbai,India,4,5034
IB4266,Iberia,Adolfo Suárez Madrid–Barajas,Madrid,Spain,11:28 AM,Charles de Gaulle,Paris,France,6,7992
AA5427,American Airlines,John F. Kennedy International,New York,USA,10:41 PM,Hartsfield-Jackson Atlanta,Atlanta,USA,8,8649
AI2522,Air India,Indira Gandhi International,Delhi,India,2:34 AM,Chhatrapati Shivaji International,Mumbai,India,24,622
AI2111,Air India,Indira Gandhi International,Delhi,India,5:44 PM,Chhatrapati Shivaji International,Mumbai,India,24,3457
DL5999,Delta Air Lines,John F. Kennedy International,New York,USA,1:28 PM,Los Angeles International,Los Angeles,USA,14,5393
NZ1091,Air New Zealand,Auckland Airport,Auckland,New Zealand,6:34 PM,Sydney Airport,Sydney,Australia,20,9620
BA2399,British Airways,Heathrow,London,UK,8:20 PM,Charles de Gaulle,Paris,France,6,3851
QF9924,Qantas,Sydney Airport,Sydney,Australia,10:14 PM,Melbourne Airport,Melbourne,Australia,17,5649
BA6353,British Airways,Heathrow,London,UK,3:57 PM,Charles de Gaulle,Paris,France,5,7298
KE7948,Korean Air,Incheon International,Seoul,South Korea,12:21 PM,Haneda,Tokyo,Japan,3,4593
AM1317,Aeroméxico,Benito Juárez International,Mexico City,Mexico,12:41 PM,Zurich Airport,Zurich,Switzerland,19,9648
QR9195,Qatar Airways,Hamad International,Doha,Qatar,2:39 AM,Charles de Gaulle,Paris,France,9,9188
WN4898,Southwest Airlines,Los Angeles International,Los Angeles,USA,11:31 PM,San Francisco International,San Francisco,USA,9,5044
SQ9273,Singapore Airlines,Changi,Singapore,Singapore,12:54 AM,Beijing Capital International,Beijing,China,24,3500
SA9580,South African Airways,O.R. Tambo International,Johannesburg,South Africa,5:01 AM,Charles de Gaulle,Paris,France,19,4914
NZ1432,Air New Zealand,Auckland Airport,Auckland,New Zealand,4:48 PM,Sydney Airport,Sydney,Australia,23,1751
LH3292,Lufthansa,Frankfurt Airport,Frankfurt,Germany,2:04 PM,Charles de Gaulle,Paris,France,14,8158
ET9515,Ethiopian Airlines,Bole International,Addis Ababa,Ethiopia,1:35 AM,Hamad International,Doha,Qatar,3,9959
AZ1141,Alitalia,Leonardo da Vinci International,Rome,Italy,5:38 AM,Charles de Gaulle,Paris,France,1,3213
UA3766,United Airlines,Los Angeles International,Los Angeles,USA,11:31 AM,Seattle-Tacoma International,Seattle,USA,6,7243
DL1765,Delta Air Lines,John F. Kennedy International,New York,USA,9:24 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,13,2812
KL7317,KLM Royal Dutch Airlines,Amsterdam Airport Schiphol,Amsterdam,Netherlands,1:08 AM,Charles de Gaulle,Paris,France,24,9907
TG9054,Thai Airways,Suvarnabhumi,Bangkok,Thailand,5:10 AM,Changi,Singapore,Singapore,6,5700
EK2258,Emirates,Dubai International,Dubai,UAE,10:10 AM,Adolfo Suárez Madrid–Barajas,Madrid,Spain,13,4400
CX7350,Cathay Pacific,Hong Kong International,Hong Kong,China,12:27 PM,Chhatrapati Shivaji International,Mumbai,India,22,7769
QR3795,Qatar Airways,Hamad International,Doha,Qatar,6:59 AM,Copenhagen Airport,Copenhagen,Denmark,9,5074
NZ9063,Air New Zealand,Auckland Airport,Auckland,New Zealand,10:40 AM,Sydney Airport,Sydney,Australia,12,6729
LA5961,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,7:15 AM,Ministro Pistarini International,Buenos Aires,Argentina,13,2928
AI9401,Air India,Indira Gandhi International,Delhi,India,11:03 AM,Dubai International,Dubai,UAE,18,8383
QF2813,Qantas,Sydney Airport,Sydney,Australia,4:18 AM,Melbourne Airport,Melbourne,Australia,21,5067
BA7496,British Airways,Heathrow,London,UK,6:46 AM,Vienna International,Vienna,Austria,19,4556
TG3890,Thai Airways,Suvarnabhumi,Bangkok,Thailand,11:41 PM,Sydney Airport,Sydney,Australia,11,1091
UA9030,United Airlines,Los Angeles International,Los Angeles,USA,4:59 AM,San Francisco International,San Francisco,USA,1,5773
SQ9917,Singapore Airlines,Changi,Singapore,Singapore,9:49 PM,Hong Kong International,Hong Kong,China,24,9367
LA5365,LATAM Airlines,São Paulo/Guarulhos International,São Paulo,Brazil,1:36 PM,Ministro Pistarini International,Buenos Aires,Argentina,9,7038
EK5965,Emirates,Dubai International,Dubai,UAE,6:39 AM,Hamad International,Doha,Qatar,13,7128
AI4455,Air India,Indira Gandhi International,Delhi,India,8:48 AM,Chhatrapati Shivaji International,Mumbai,India,22,8872
QR5341,Qatar Airways,Hamad International,Doha,Qatar,2:03 AM,Bole International,Addis Ababa,Ethiopia,1,9155
QR8903,Qatar Airways,Hamad International,Doha,Qatar,12:35 PM,Bole International,Addis Ababa,Ethiopia,24,3020
WN5923,Southwest Airlines,Los Angeles International,Los Angeles,USA,11:44 AM,San Francisco International,San Francisco,USA,4,5605
SK1914,SAS Scandinavian,Copenhagen Airport,Copenhagen,Denmark,8:29 AM,Charles de Gaulle,Paris,France,11,7332
AA5427,American Airlines,John F. Kennedy International,New York,USA,5:58 AM,Hartsfield-Jackson Atlanta,Atlanta,USA,4,3995
NZ4960,Air New Zealand,Auckland Airport,Auckland,New Zealand,2:02 AM,Sydney Airport,Sydney,Australia,19,9925
AC3020,Air Canada,Toronto Pearson,Toronto,Canada,4:50 AM,John F. Kennedy International,New York,USA,16,7275
UA6087,United Airlines,Los Angeles International,Los Angeles,USA,5:28 AM,San Francisco International,San Francisco,USA,3,7773
