flight_id,airline_name,airline_code,flight_number,departure_airport,arrival_airport,cabin_class,ticket_type,aircraft_type,departure_time,arrival_time,flight_duration_hours,distance_miles,base_fare_usd
15,British Airways,BA,BA8137,LHR,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/4/2026,10/3/2022,1.24,8553,2852.06
16,Iberia,IB,IB3853,MAD,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/12/2022,12/24/2022,3.96,5800,2536.09
17,Air Canada,AC,AC6500,YYZ,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/13/2023,2/23/2024,2.68,8148,1843.42
18,Emirates,EK,EK2700,DXB,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/17/2023,5/9/2024,9.53,3531,951.09
19,Air New Zealand,NZ,NZ3511,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/6/2024,11/1/2025,10.34,8011,472.96
20,Air Canada,AC,AC9050,YYZ,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/11/2022,9/9/2023,12.83,6149,2028.72
21,Lufthansa,LH,LH4869,FRA,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/19/2023,8/20/2023,6.52,3548,3100.55
22,Alitalia,AZ,AZ1726,FCO,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/21/2022,5/18/2024,14.88,5403,2558.86
23,Emirates,EK,EK1142,DXB,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/7/2024,7/7/2022,16.74,178,339.54
24,Iberia,IB,IB2377,MAD,ZRH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/5/2024,1/11/2026,4.55,5189,1554.16
25,Cathay Pacific,CX,CX9392,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/21/2023,1/9/2022,1.56,4057,3216.81
26,United Airlines,UA,UA2406,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/24/2023,2/25/2025,8.08,6250,370.45
27,Avianca,AV,AV9841,BOG,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/24/2022,3/9/2023,6.13,5144,255.87
28,Singapore Airlines,SQ,SQ4852,SIN,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/4/2024,11/22/2025,12.99,5233,829.17
29,Qatar Airways,QR,QR6840,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/18/2026,9/10/2022,4.07,6347,2257.08
30,Air New Zealand,NZ,NZ3445,AKL,EZE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/19/2024,9/28/2022,10.57,5910,218.53
31,KLM Royal Dutch Airlines,KL,KL8106,AMS,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/4/2024,9/16/2024,14.08,2791,2166.44
32,Air France,AF,AF2465,CDG,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/8/2023,10/19/2025,14.67,621,3267.93
33,All Nippon Airways,NH,NH2315,HND,ICN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/5/2025,1/6/2023,12.89,5022,1128.63
34,Air France,AF,AF7434,CDG,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/2/2025,9/10/2026,1.29,5959,1446.97
35,LATAM Airlines,LA,LA5961,GRU,EZE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/29/2024,4/3/2024,11.08,5266,3425.08
36,Thai Airways,TG,TG9224,BKK,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/21/2022,3/28/2023,15.08,1942,888.55
37,Alitalia,AZ,AZ1933,FCO,DEL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/10/2025,12/17/2025,7.03,6261,127.47
38,Air Canada,AC,AC6946,YYZ,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/30/2022,9/25/2024,17.35,5360,2482.72
39,British Airways,BA,BA8735,LHR,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/25/2025,2/7/2022,5.62,1092,117.29
40,British Airways,BA,BA2226,LHR,ZRH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/27/2025,11/21/2022,16.5,6016,1554.8
41,Ethiopian Airlines,ET,ET3233,ADD,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/14/2025,9/14/2024,2.25,3155,1468.38
42,Alitalia,AZ,AZ6461,FCO,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/26/2026,2/17/2023,9.18,707,1372.03
43,Emirates,EK,EK7294,DXB,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/1/2022,10/20/2026,2.93,167,3497.87
44,British Airways,BA,BA2801,LHR,MAD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/23/2026,1/17/2022,5.42,5471,2912.63
45,Delta Air Lines,DL,DL8835,JFK,SCL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/28/2024,8/13/2024,5.72,2169,653.94
46,Air New Zealand,NZ,NZ2181,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/25/2023,5/19/2025,14.02,2140,3079.3
47,Singapore Airlines,SQ,SQ1240,SIN,MAD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/15/2024,1/23/2023,1.16,3918,1998.72
48,Emirates,EK,EK6905,DXB,NBO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/6/2023,3/26/2022,6.41,7351,3137.66
49,LATAM Airlines,LA,LA1124,GRU,EZE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/5/2022,6/30/2026,7.3,990,1286.74
50,Ethiopian Airlines,ET,ET5433,ADD,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/22/2022,1/5/2025,13.67,4650,2306.59
51,United Airlines,UA,UA1770,LAX,DXB,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/30/2024,6/6/2025,3.21,4284,3373.26
52,Southwest Airlines,WN,WN9680,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/6/2023,4/30/2024,11.51,7130,1536.42
53,Southwest Airlines,WN,WN9686,LAX,DFW,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/5/2026,11/29/2023,16.95,5544,2588.24
54,South African Airways,SA,SA6084,JNB,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/24/2026,1/8/2025,10.54,3658,863.61
55,Southwest Airlines,WN,WN3907,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/25/2024,4/6/2024,16.24,3056,2563.73
56,Qatar Airways,QR,QR2909,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/23/2024,2/1/2026,3.61,6977,112.35
57,KLM Royal Dutch Airlines,KL,KL6990,AMS,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/24/2024,8/1/2026,3.2,1454,2450.63
58,Air New Zealand,NZ,NZ1420,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/19/2025,4/10/2025,12.13,508,1192.17
59,Air New Zealand,NZ,NZ9763,AKL,BOG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/13/2026,4/22/2026,3.15,2363,521.39
60,Iberia,IB,IB8460,MAD,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/22/2023,3/20/2024,5.5,1855,1900.47
61,Singapore Airlines,SQ,SQ5486,SIN,KUL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/3/2025,3/22/2022,15.61,8842,3298.18
62,Qantas,QF,QF3938,SYD,MEL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/9/2022,3/31/2026,9.25,2625,1563.35
63,Air New Zealand,NZ,NZ4615,AKL,MUC,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/20/2025,10/16/2023,2.02,3390,1147.15
64,British Airways,BA,BA4142,LHR,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/9/2025,4/22/2026,7.24,3137,1566.65
65,Thai Airways,TG,TG3007,BKK,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/4/2026,3/26/2022,14.78,4956,994.08
66,SAS Scandinavian,SK,SK5933,CPH,MUC,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/6/2025,2/7/2026,14.75,4345,1652.63
67,Alitalia,AZ,AZ1329,FCO,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/4/2026,11/26/2024,1.6,1191,2134.69
68,Air France,AF,AF4149,CDG,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/27/2026,4/27/2022,9.02,7640,459.19
69,South African Airways,SA,SA2908,JNB,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/23/2023,11/6/2026,5.03,7088,2595.38
70,Thai Airways,TG,TG6220,BKK,PEK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/17/2022,11/12/2023,10.23,8520,1863.52
71,United Airlines,UA,UA2406,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/10/2022,12/1/2023,15.56,5118,1930.16
72,KLM Royal Dutch Airlines,KL,KL2077,AMS,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/13/2024,6/21/2023,12.15,5095,1743.07
73,Air India,AI,AI2578,DEL,VIE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/18/2026,11/11/2022,10.04,3283,1627.65
74,Korean Air,KE,KE3049,ICN,FCO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/16/2026,6/18/2022,4.54,8844,142.9
75,Lufthansa,LH,LH4911,FRA,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/22/2025,7/16/2025,6.08,1445,2323.56
76,Qatar Airways,QR,QR6001,DOH,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/12/2022,10/18/2024,15.38,5556,2867.98
77,Qantas,QF,QF7728,SYD,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/21/2023,4/14/2024,9.89,234,2187.99
78,KLM Royal Dutch Airlines,KL,KL6990,AMS,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/8/2025,11/13/2024,6.56,1654,1762.43
79,Air Canada,AC,AC6451,YYZ,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/9/2024,11/2/2022,3.66,1911,1594.36
80,Aeroméxico,AM,AM6507,MEX,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/15/2024,6/26/2024,17.93,5816,656.85
81,LATAM Airlines,LA,LA5518,GRU,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/16/2024,10/4/2022,15.1,1796,3120.54
82,Air France,AF,AF2649,CDG,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/31/2024,3/18/2025,14.15,611,1634.51
83,Emirates,EK,EK1275,DXB,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/23/2022,6/25/2025,14.86,2112,1364.37
84,British Airways,BA,BA1149,LHR,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/15/2026,10/1/2022,13.25,6236,2771.46
85,Lufthansa,LH,LH6315,FRA,JNB,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/12/2023,8/29/2023,8.41,308,1528.86
86,Aeroméxico,AM,AM7520,MEX,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/8/2022,5/19/2025,5.45,1302,360.07
87,SAS Scandinavian,SK,SK9831,CPH,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/9/2022,3/18/2026,12.11,5247,2107.71
88,Qantas,QF,QF3681,SYD,BOS,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/22/2025,9/29/2024,13.48,4830,2110.73
89,Aeroméxico,AM,AM5776,MEX,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/30/2026,12/31/2025,17.41,7018,2245.99
90,LATAM Airlines,LA,LA4240,GRU,JFK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/3/2025,2/19/2022,1.66,900,1367.81
91,Air New Zealand,NZ,NZ5451,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/6/2023,4/6/2023,16.86,5448,3060.38
92,Aeroméxico,AM,AM9126,MEX,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/30/2023,3/23/2025,14.27,2825,2375.45
93,Qantas,QF,QF5669,SYD,HND,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/26/2023,8/5/2022,17.78,3103,3485.12
94,Qantas,QF,QF1365,SYD,MEL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/14/2025,11/18/2026,13.63,7640,467.59
95,British Airways,BA,BA7461,LHR,ADD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/2/2024,12/1/2026,6.95,1871,2669.44
96,Thai Airways,TG,TG4154,BKK,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/26/2024,2/21/2023,11.27,2306,3029.05
97,Air New Zealand,NZ,NZ7733,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/12/2025,8/17/2025,11.81,905,1581.55
98,Delta Air Lines,DL,DL1467,JFK,SCL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/16/2024,11/9/2025,12.81,8834,635.3
99,Air India,AI,AI5535,DEL,BOM,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/14/2023,9/2/2025,11.36,7727,2450.95
100,Korean Air,KE,KE3468,ICN,HND,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/2/2022,5/28/2023,3.27,6518,1529.33
101,Cathay Pacific,CX,CX4113,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,4/27/2024,8/31/2026,4.86,2871,238.89
102,Air India,AI,AI7579,DEL,BOM,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/16/2025,3/16/2026,14.63,135,2326.62
103,Avianca,AV,AV4539,BOG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/3/2025,10/27/2023,15.14,7203,1426.64
104,Cathay Pacific,CX,CX6613,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/14/2026,6/4/2023,10.79,8607,1950.39
105,Delta Air Lines,DL,DL2477,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/11/2025,4/10/2026,14.08,7083,1415.01
106,Air France,AF,AF6961,CDG,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/5/2022,8/24/2022,12.24,6214,516.84
107,Emirates,EK,EK7011,DXB,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/14/2022,5/14/2025,11.69,7185,2908.67
108,United Airlines,UA,UA3003,LAX,DFW,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,10/19/2024,7/18/2023,0.35,781,3154.62
109,Thai Airways,TG,TG8477,BKK,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/25/2026,12/6/2022,10.54,7865,343.04
110,United Airlines,UA,UA9619,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/23/2024,9/4/2025,2.74,7875,1034.3
111,American Airlines,AA,AA4958,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/18/2025,11/28/2026,6.02,5739,612.7
112,LATAM Airlines,LA,LA1925,GRU,YYZ,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/21/2026,5/29/2023,10.07,1380,1193.9
113,American Airlines,AA,AA2376,JFK,ATL,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,12/10/2026,5/25/2024,16.84,1888,3364.33
114,SAS Scandinavian,SK,SK4970,CPH,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/18/2025,4/22/2023,1.76,1849,3178.82
115,Air France,AF,AF9603,CDG,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/7/2024,1/13/2023,3.74,5387,2356.9
116,Southwest Airlines,WN,WN5098,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,3/14/2026,1/24/2025,14.64,3273,2984.81
117,Cathay Pacific,CX,CX4721,HKG,SIN,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/3/2025,10/1/2023,17.58,1191,1647.38
118,South African Airways,SA,SA3713,JNB,FRA,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/22/2024,6/7/2022,11.13,5495,2925.47
119,Air India,AI,AI1979,DEL,BOM,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,2/23/2022,8/22/2023,8.98,3431,1711.87
120,KLM Royal Dutch Airlines,KL,KL1861,AMS,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/10/2026,9/13/2023,5.36,5835,3073.15
121,Lufthansa,LH,LH3957,FRA,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/23/2022,12/12/2023,9.13,8628,1641.59
122,Ethiopian Airlines,ET,ET5120,ADD,DOH,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/24/2025,2/3/2024,17.08,3045,1545.49
123,LATAM Airlines,LA,LA4064,GRU,EZE,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/24/2026,5/2/2023,7.13,3502,1235.34
124,Lufthansa,LH,LH2095,FRA,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,8/7/2022,10/18/2023,0.92,6338,1818.72
125,Southwest Airlines,WN,WN1209,LAX,SFO,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,11/25/2022,2/15/2025,8.83,817,3387.92
126,All Nippon Airways,NH,NH3833,HND,CPT,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,5/9/2025,5/8/2025,6.94,1822,2470.54
127,Air India,AI,AI2581,DEL,BOM,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/25/2025,11/8/2022,2.64,178,2724.13
128,Air New Zealand,NZ,NZ4960,AKL,SYD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,9/6/2025,3/3/2026,16.57,856,3326.85
129,British Airways,BA,BA6869,LHR,CDG,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,7/28/2022,6/13/2022,2.44,7399,2317.4
130,Southwest Airlines,WN,WN2849,LAX,ORD,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,1/18/2025,12/7/2025,12.34,6902,1846.27
131,Singapore Airlines,SQ,SQ5996,SIN,PEK,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,error: undefined method `first' for nil:NilClass,6/3/2024,11/19/2024,6.04,8740,3010.77
